Schulart;Ort;Name;Schulnummer;Strasse;PLZ;Telefon;URL
GS;Haßloch;"GS Haßloch Ernst-Reuter";10331;"Martin-Luther-Str. 25";67454;(06324)92510;http://www.ernst-reuter-schule.com
GS;Haßloch;"GS Haßloch Montessori";27245;"Siemensstr. 2a";67454;06324-7080878;http://www.maria-montessori-schule-hassloch.de/
GS;Haßloch;"GS Haßloch Schiller";11319;"Schillerstr. 1a";67454;(06324)92520;http://www.schillerschule-hassloch.de/
GY;Haßloch;"GY Haßloch";51395;"Viroflayer Str. 20";67454;(06324)92700;http://www.hagh.net
RS+FOS;Haßloch;"RS+FOS Haßloch";40728;"Raiffeisenstr. 27";67454;(06324)9246-0;http://www.rsplus-hassloch.de
FOES;Haßloch;"SFL Haßloch";31027;"Meckenheimer Str. 10";67454;(06324)2121;http://www.gottlieb-wenz-schule.de
GS;Hatzenbühl;"GS Hatzenbühl";24568;"Feigenberg 16";76770;(07275)5877;www.gs-hatzenbuehl.de
GS;Hauenstein;"GS Hauenstein";13767;"Marienstr. 10";76846;(06392)4096290;
RS+;Hauenstein;"RS+ Hauenstein";42010;"Speyerer Str. 32";76846;(06392)923260;http://www.wasgauschule.de
GS;Hauptstuhl;"GS Hauptstuhl";13771;"Schulstr. 9";66851;(06372)4603;
GS;Heidenburg;"GS Heidenburg";13801;"Schulstr. 5";54426;(06509)262;http://www.gs-heidenburg.de
GRS+;Heidesheim;"GRS+ Heidesheim Montessori";42444;"Budenheimer Weg 55";55262;"06132-7 120 120";http://www.montessori-schule-ingelheim.de/
GS;Heidesheim;"GS Heidesheim";10615;"Kreuzstraße 47";55262;(06132)50990;http://www.grundschule-heidesheim.de
GS;Heimbach;"GS Heimbach";13814;"In der Au 28";55779;(06789)294;
GS;Hellenhahn-Schellenberg;"GS Hellenhahn-Schellenberg";13828;"Schulstr. 9";56479;(02664)6763;
GS;Heltersberg;"GS Heltersberg";25425;"Hauptstr. 1";67716;(06333)63973;
GS;Hennweiler;"GS Hennweiler";25798;"Schulstr. 24";55619;(06752)8991;http://grundschule-hennweiler.de
GS;Hentern;"GS Hentern";13831;"Waldstr. 1";54314;(06587)7276;http://gs-hentern-lampaden.bildung-rp.de
GS;Herdorf;"GS Herdorf";13844;"Schneiderstr. 11";57562;(02744)1693;http://www.grundschule-herdorf.de
RS+;Herdorf;"RS+ Herdorf";41406;"Homscheidstr. 18";57562;(02744)1538;http://www.realschuleplusherdorf.de
GS;Hermersberg;"GS Hermersberg-Höheinöd";27258;"Schulstr. 44";66919;(06333)63444;
GS;Hermeskeil;"GS Hermeskeil";13861;"Schulstr. 19";54411;(06503)7038;www.gshermeskeil.de
GY;Hermeskeil;"GY Hermeskeil";50957;"Borwiesenstr. 19-21";54411;(06503)952000;http://www.gymherm.de
IGS;Hermeskeil;"IGS Hermeskeil";70528;Schulzentrum;54411;(06503)92770;http://www.igshk.de
GS;Herresbach;"GS Herresbach";13887;Schulstr.;56729;(02656)950157;http://www.grundschule-herresbach.de
RS+;Herrstein;"RS+ Herrstein/Kempfeld";41766;"Am Teich 15";55756;(06785)943000;http://www.rsplus-herrstein-rhaunen.de
GS;Herschbach;"GS Herschbach/ Uww.";25442;"Herrenheeg 2";56249;(02626)453;http://www.Grundschule-Herschbach.de
GS;Herschbach;"GS Herschbach/Oww.";13891;"Schulstr. 8";56414;(06435)2780;http://www.als-herschbach.de
GS;Herschweiler-Pettersheim;"GS Herschweiler-Pettersheim";26270;"Am Sportplatz 10";66909;(06384)51460810;
GS;Herxheim;"GS Herxheim";13904;"Kolpingstr. 1";76863;(07276)988679-0;
GY;Herxheim;"GY Herxheim";51408;"Südring 11";76863;(07276)9710;http://www.pamina-schulzentrum.de
RS+;Herxheim;"RS+ Herxheim";40805;"Südring 11";76863;(07276)9710;http://www.pamina-schulzentrum.de
FOES;Herxheim;"SFG Herxheim";30065;"Bussereaustr. 21";76863;(07276)970140;http://www.st-laurentiusundpaulus-cbs-speyer.de
GS;Heßheim;"GS Heßheim";24735;"Schulstr. 3";67258;(06233)70169;http://www.grundschule-hessheim.de
GS;Hettenleidelheim;"GS Hettenleidelheim";22119;"Hauptstr. 27";67310;(06351)8191;http://www.grundschule-hettenleidelheim.de
GS;Hetzerath;"GS Hetzerath";25082;"Bahnhofstr. 14";54523;(06508)842;http://gs-hetzerath.bildung-rp.de/
GS;Hilgert;"GS Hilgert";22136;"Bergstr. 24";56206;(02624)7423;http://www.sonnenfeldschule.de
GS;Hillesheim;"GS Hillesheim";13918;"Lammersdorfer Str. 18a";54576;(06593)9429;http://www.grundschule-hillesheim.de
RS+;Hillesheim;"RS+ Hillesheim";40612;"Im Walkgraben";54576;(06593)320;http://www.Augustiner-Realschule-plus.de
GS;Hillscheid;"GS Hillscheid";20783;"Waldstr. 21";56204;(02624)3321;http://www.gs-hillscheid.de
GS;Hinterweidenthal;"GS Hinterweidenthal";13934;"Schulstr. 7";66999;(06396)271;
GS;Hochdorf-Assenheim;"GS Hochdorf-Assenheim";13947;"Alfons-Legner-Str. 5-7";67126;(06231)1390;
GS;Hochspeyer;"GS Hochspeyer";13964;"Kreuzhohlstr. 2";67691;(06305)1801;www.muenchhofschule.de
GS;Hochstadt;"GS Hochstadt";18786;"Hauptstr. 112";76879;(06347)1531;http://www.hainbachschule.de
GS;Hof;"GS Hof";22166;"Schul- und Sportzentrum 6";56472;(02661)5693;www.grundschule-hof.de
GS;Höhn;"GS Höhn";25649;"Zehntgrafstr. 12";56462;(02661)98660;
FOES;Höhn;"SFGM Höhn";31837;"Zehntgrafstr. 14";56462;(02661)98830;http://www.hh-wilhelm-albrecht-schule.de
BBS;Höhr-Grenzhausen;"BBS Höhr-Grenzhausen";62781;"Am Scheidberg";56203;(02624)94070;http://www.fs-keramik.de
GS;Höhr-Grenzhausen;"GS Höhr-Grenzhausen";11515;"Schulstr. 9";56203;(02624)4749;http://www.gs-hoehr-g.de
GY;Höhr-Grenzhausen;"GY Höhr-Grenzhausen";51348;"Am Scheidberg 4";56203;(02624)94080;http://gik-hg.de
RS+FOS;Höhr-Grenzhausen;"RS+FOS Höhr-Grenzhausen";40517;"Am Scheidberg 2";56203;02624-947500;http://www.ebr-hg.de
FOES;Höhr-Grenzhausen;"SFL Höhr-Grenzhausen";30155;"Rathausstr. 131";56203;(02624)95440;www.schiller-schule-hg.de
GS;Holzappel;"GS Holzappel";10961;"Schulstr. 4";56379;(06439)271;http://www.esterauschule.de
GS;Hoppstädten-Weiersbach;"GS Hoppstädten-Weiersbach";25802;"Schulstr. 13";55768;(06782)2566;
GS;Horbach;"GS Horbach";25305;"Schulstr. 17";56412;(06439)7611;
GS;Hördt;"GS Hördt";25739;"Kirchstr. 7";76771;(07272)71001;
GS;Horhausen;"GS Horhausen";14025;"Steinstr. 3";56593;(02687)929183;http://www.grundschule-horhausen.de
IGS;Horhausen;"IGS Horhausen";70112;"Neue Schulstr. 24";56593;(02687)920920;http://www.igs-horhausen.de
GS;Hornbach;"GS Hornbach";24061;"Turnhallstr. 1";66500;(06338)465;
GS;Hundsangen;"GS Hundsangen";26417;"Günterstr. 13";56414;(06435)961137;http://www.gshundsangen.bildung-rp.de
GS;Hupperath;"GS Hupperath";14086;"Schulstr. 16";54518;(06571)7677;http://www.gshupperath.de
GS;Hütschenhausen;"GS Hütschenhausen";14068;"Schulstr. 3";66882;(06371)3489;http://grundschule-huetschenhausen.de
BBS;Idar-Oberstein;"BBS Idar-Oberstein Tech.";60689;"Vollmersbachstr. 53";55743;"(06781) 9620";http://www.bbs-t-io.de
BBS;Idar-Oberstein;"BBS Idar-Oberstein Wirt.";60975;"Vollmersbacher Str. 50";55743;(06781)98330;http://www.bbs-w.de
GS;Idar-Oberstein;"GS Idar-Oberstein Algenrodt";10825;"Weihergasse 20";55743;(06781)64750;http://www.Grundschule-Algenrodt.de
GS;Idar-Oberstein;"GS Idar-Oberstein Auf der Bein";25922;"Auf der Bein 5";55743;(06781)64770;
GS;Idar-Oberstein;"GS Idar-Oberstein Göttschied";13514;"Eichenwaldstr. 1";55743;(06781)64760;http://gs-goettschied.bildung-rp.de/
GS;Idar-Oberstein;"GS Idar-Oberstein Idar";20707;"Pestalozzistraße 2";55743;(06781)64730;
GS;Idar-Oberstein;"GS Idar-Oberstein Idarbachtal";18803;"Alte Poststr. 59";55743;(06781)64740;http://www.idarbachtalschule.de
GS;Idar-Oberstein;"GS Idar-Oberstein Oberstein";11305;"Wüstenfeldstraße 50";55743;(06781)64780;
GY;Idar-Oberstein;"GY Idar-Oberstein an der Heinzenwies";51021;"Heinzenwies 5";55743;(06781)986430;http://www.heinzenwies.de
GY;Idar-Oberstein;"GY Idar-Oberstein Göttenbach";50493;"Auf der Bein";55743;(06784)904790;http://www.goettenbach-gymnasium.de
RS+;Idar-Oberstein;"RS+ Idar-Oberstein Ida Purper";40295;"Vollmersbachstr. 55";55743;(06781)568580;http://www.ida-purper-schule.de
RS+;Idar-Oberstein;"RS+ Idar-Oberstein Rostocker Str.";41779;"Rostocker Str. 2";55743;"(06781) 64710";http://http://www.wp.realschule-plus-idar-oberstein.de/
FOES;Idar-Oberstein;"SFGM Idar-Oberstein";30395;"Auf Weißborr 15";55743;(06781)27842;http://www.Peter-Caesar-Schule.de
FOES;Idar-Oberstein;"SFL Idar-Oberstein";31360;"Auf der Bein 7";55743;(06784)8915;
FOES;Idar-Oberstein;"SFS Idar-Oberstein";31870;"Auf der Bein 7";55743;(06784)2372;http://www.sprachfoerderung-io.de
GS;Idesheim;"GS Idesheim";14132;"Schulstr. 12";54636;(06506)991036;www.gs-idesheim.de
GS;Igel;"GS Igel";14145;"Auf der Weisley";54298;(06501)12985;http://GrundschuleIgel.bildung-rp.de/
GS;Ilbesheim;"GS Ilbesheim";10555;"Arzheimer Str. 75";76831;(06341)32852;http://www.ghs-ilbesheim.de
STUDSEM;Ilbesheim;"StudSem RS+ Kaiserslautern TD Landau";90105;"Arzheimer Str. 75";76831;(06341)9947347;"http://www.studienseminar.rlp.de "
GS;Imsweiler;"GS Imsweiler";14218;"Alsenzstr. 12";67808;(06361)1057;
BBS;Ingelheim;"BBS Ingelheim";60359;"Wilhelm-Leuschner-Str. 25";55218;(06132)71960;http://www.bbs-ingelheim.de
GS;Ingelheim;"GS Ingelheim Pestalozzi";10631;"Mainzer Str. 68";55218;(06132)73318;http://www.pestalozzischule-ingelheim.de/
GS;Ingelheim;"GS Ingelheim Präsident Mohr";11485;"Schulstr. 12-14";55218;(06132)75050;http://www.pms-ingelheim.de.
GS;Ingelheim;"GS Ingelheim Theodor-Heuss";24764;"Ludwig-Richter-Str. 7";55218;(06132)86100;http://www.Theodor-Heuss-Grundschule.de
GS;Ingelheim;"GS Ingelheim-Nord";14222;"Brüder-Grimm-Str. 27";55218;(06132)84193;http://www.bgs-ingelheim.de
GY;Ingelheim;"GY Ingelheim Sebastian-Münster";51228;"Friedrich-Ebert-Str. 13";55218;(06132)71650;http://www.smg-ingelheim.de
IGS;Ingelheim;"IGS Ingelheim";70048;"Albrecht-Dürer-Str. 30";55218;(06132)99510;http://www.igs-ingelheim.de
RS+;Ingelheim;"RS+ Ingelheim";40848;"Ludwig-Langstädter-Str. 6";55218;"(06132) 714410";http://www.Kaiserpfalz-Realschule.de
FOES;Ingelheim;"SFL Ingelheim";31147;"Talstr. 153";55218;(06132)4354710;http://www.assingelheim.de
GS;Insheim;"GS Insheim";22239;"Hauptstr. 17";76865;(06341)4997;http://www.grundschule-insheim.de
GS;Irmtraut;"GS Irmtraut";17122;"Schulstr. 6";56479;(06436)3365;
GRS+;Irrel;"GRS+ Irrel";41662;"Auf Omesen 13";54666;(06525)9348080;http://www.franziskus-schule-irrel.de
GS;Irsch;"GS Irsch";14235;"Schulstr. 1";54451;(06581)2944;http://www.grundschule-irsch.de
GS;Jettenbach;"GS Jettenbach";26314;"Austr. 25";66887;(06385)415288;
GS;Jockgrim;"GS Jockgrim";24584;Schelmenwaldstr.;76751;(07271)981141;http://www.lina-sommer-grundschule.de
GRS+;Jünkerath;"GRS+ Jünkerath";41676;Schulstr.;54584;(06597)92033-0;http://www.graf-salentin-schule.de/cms/
GS;Kaden;"GS Kaden";25469;"Elberbütz 14";56459;(02663)6817;
GS;Kaisersesch;"GS Kaisersesch";20617;"Im Haag";56759;(02653)8911;http://www.grundschule-kaisersesch.de
RS+FOS;Kaisersesch;"RS+FOS Kaisersesch";41782;"Im Haag";56759;(02653)9899-0;rsplusfos-kaisersesch.de
FOES;Kaisersesch;"SFL Kaisersesch";30709;"Im Haag";56759;(02653)6631;http://www.pommerbachschule.de
BBS;Kaiserslautern;"BBS Kaiserslautern Meister";60479;"Am Turnerheim 1";67657;(0631)3647-403;http://www.mhk-kl.de
BBS;Kaiserslautern;"BBS Kaiserslautern Tech.";60449;"Kaiserbergring 29";67657;(0631)3727-0;http://www.bbs1-kl.de
BBS;Kaiserslautern;"BBS Kaiserslautern WS";60466;"Martin-Luther-Str. 20";67657;(0631)3649930;http://www.bbsii-kl.de
GRS+;Kaiserslautern;"GRS+ Kaiserslautern Paul-Gerhardt";42520;"Finkenstraße 14";67661;(06301)7997759;http://pgs-kl.de
GS;Kaiserslautern;"GS Kaiserslautern Auf dem Fischerrück";11635;"Stettiner Str. 35";67659;(0631)3703283;
GS;Kaiserslautern;"GS Kaiserslautern Bännjerrück";12087;"Leipziger Str. 109";67663;(0631)3514050;
GS;Kaiserslautern;"GS Kaiserslautern Betzenberg";11622;"Kantstr. 97";67663;(0631)10835;http://grundschule-betzenberg-kl.bildung-rp.de
GS;Kaiserslautern;"GS Kaiserslautern Geschwister-Scholl";11352;"Schreberstr. 37-39";67657;(0631)46109;http://www.gsgs-kl.de/
GS;Kaiserslautern;"GS Kaiserslautern Kotten";11412;"Kammgarnstr. 17";67659;(0631)78147;
GS;Kaiserslautern;"GS Kaiserslautern Luitpold";11425;"Albrechtstr. 3";67655;"(0631) 6 94 16";http://luitpoldschule.bildung-rp.de/
GS;Kaiserslautern;"GS Kaiserslautern Paul-Münch";25712;"Augustastr. 7-9";67655;(0631)4145057;
GS;Kaiserslautern;"GS Kaiserslautern Pestalozzi";11455;"Pfaffenbergstr. 108";67663;(0631)28637;
GS;Kaiserslautern;"GS Kaiserslautern Röhm";11498;"Moltkestr. 27";67655;(0631)10833;http://www.roehmschule.region-kl.de
GS;Kaiserslautern;"GS Kaiserslautern Schiller";11529;"Julius-Küchler-Str. 1-3";67659;(0631)78280;
GS;Kaiserslautern;"GS Kaiserslautern Stiftswald";11545;"Stiftswaldstr. 54";67657;(0631)470111;
GS;Kaiserslautern;"GS Kaiserslautern Stresemann";11559;"Stresemannstr. 3";67663;(0631)59382;http://www.gs-stresemann.region-kl.de
GS;Kaiserslautern;"GS Kaiserslautern Theodor-Heuss";11562;"Haspelstr. 37 - 39";67657;(0631)69229;http://www.gs-theodor-heuss.region-kaiserslautern.de
GS;Kaiserslautern;"GS Kaiserslautern-Dansenberg";14312;"Wasserlochstücke 7a";67661;(0631)52593;http://www.gs-dansenberg.de
GS;Kaiserslautern;"GS Kaiserslautern-Erfenbach";14308;"Siegelbacher Str. 108";67659;(06301)8122;http://www.gs-erfenbach.de
GS;Kaiserslautern;"GS Kaiserslautern-Erlenbach";14343;"Erlenbacher Str. 24";67659;(06301)8088;http://www.gs-kl-erlenbach.de
GS;Kaiserslautern;"GS Kaiserslautern-Erzhütten";14325;"Erzhütter Str. 101";67659;(0631)4147495;
GS;Kaiserslautern;"GS Kaiserslautern-Hohenecken";14296;"Forststr. 2";67661;(0631)3503883;http://gshohenecken.region-kaiserslautern.de/
GS;Kaiserslautern;"GS Kaiserslautern-Morlautern";14338;"Otterberger Str. 47";67659;(0631)77379;
GY;Kaiserslautern;"GY Kaiserslautern Albert-Schweitzer";50240;"Martin-Luther-Str. 5";67657;(0631)366890;http://asg-kl.de
GY;Kaiserslautern;"GY Kaiserslautern am Rittersberg";50570;"Ludwigstr. 20";67657;(0631)362170;http://www.rbg-kl.de
GY;Kaiserslautern;"GY Kaiserslautern Burggymnasium";50614;"Burgstr. 18";67659;(0631)371630;http://www.burg-kl.de/
GY;Kaiserslautern;"GY Kaiserslautern Heinrich-Heine";50314;"Im Dunkeltälchen 65";67663;(0631)201040;http://www.hhg-kl.de/
GY;Kaiserslautern;"GY Kaiserslautern Hohenstaufen";50734;"Möllendorfstr. 29";67655;(0631)370233;http://www.hsg-kl.de
GY;Kaiserslautern;"GY Kaiserslautern St.-Franziskus";50177;"St.-Franziskus-Str. 2";67655;(0631)3175190;http://St-Franziskus.Region-kl.de
IGS;Kaiserslautern;"IGS Kaiserslautern B. v. Suttner";70005;"Im Stadtwald";67663;(0631)3189100;http://www.von-suttner-igs.de
IGS;Kaiserslautern;"IGS Kaiserslautern Goethe";70108;"Goethestr. 35";67655;(0631)41470310;www.schulen-kl.de/goethe
RS;Kaiserslautern;"RS Kaiserslautern St. Franziskus";40067;"St.-Franziskus-Str. 2";67655;(0631)3175190;http://St-Franziskus.Kaiserslautern.de
RS+;Kaiserslautern;"RS+ Kaiserslautern Kurpfalz";40642;"Im Stadtwald";67663;(0631)3189200;www.krsplus-kl.de
RS+;Kaiserslautern;"RS+ Kaiserslautern Lina-Pfaff";42370;"Friedrichstr. 75";67655;(0631)68898;http://www.Lina-Pfaff.de
FOES;Kaiserslautern;"SFGS Kaiserslautern";30485;"Velmannstr. 13";67657;(0631)3402552;http://schule-am-beilstein.de
FOES;Kaiserslautern;"SFL Kaiserslautern";31417;"Erfurter Str. 68 - 70";67663;(0631)3505823;schulen-kl.de
STUDSEM;Kaiserslautern;"StudSem BBS Speyer TD K.lautern";90505;"Pirmasenser Str. 65";67655;(0631)3607035;
STUDSEM;Kaiserslautern;"StudSem FOES Kaiserslautern";90301;"Pirmasenser Str. 65";67655;(0631)696061;http://www.studienseminar.rlp.de/foesch/kaiserslautern.html
STUDSEM;Kaiserslautern;"StudSem GS Kaiserslautern";90001;"Pirmasenser Str. 65";67655;(0631)64377;http://studienseminar.rlp.de/gs/kaiserslautern.html
STUDSEM;Kaiserslautern;"StudSem GY Kaiserslautern";90202;"Pirmasenser Str. 65";67655;(0631)64266;
STUDSEM;Kaiserslautern;"StudSem RS+ Kaiserslautern";90101;"Pirmasenser Str. 65";67655;(0631)61477;http://www.studienseminar.rlp.de
GS;Kallstadt;"GS Kallstadt";26447;"Weinstr. 79";67169;(06322)1881;http://www.gskallstadt.de
GS;Kaltenengers;"GS Kaltenengers";24451;"Raiffeisenstr. 2";56220;(02630)6309;
GS;Kamp-Bornhofen;"GS Kamp-Bornhofen";14356;Marienstr.;56341;(06773)1233;
GS;Kandel;"GS Kandel Ludwig-Riedinger";14369;"Marktstr. 6";76870;(07275)918249;http://www.gs-kandel.de
IGS;Kandel;"IGS Kandel";70095;"Jahnstr. 20";76870;(07275)98580;http://www.igs-kandel.de
RS+;Kandel;"RS+ Kandel";40761;"Jahnstr. 18";76870;(07275)91440;http://www.realschule-kandel.de
GS;Karlshausen;"GS Karlshausen";14399;"Auf dem Garten 6";54673;(06564)2213;www.grundschule-karlshausen.blogspot.com
FWS;Kastellaun;"FWS Kastellaun";79078;"An der Molkerei 15";56288;(06762)963851;http://www.fws-kastellaun.de/
GS;Kastellaun;"GS Kastellaun";14415;"Pestalozzistr. 14";56288;(06762)961857;http://www.grundschulekastellaun.de
IGS;Kastellaun;"IGS Kastellaun";70018;Albert-Schweitzer-Str.;56288;(06762)93360;http://www.igs-kastellaun.de
FOES;Kastellaun;"SFGM Kastellaun";30455;"Theodor-Heuss-Str. 8";56288;(06762)8551;www.ths-kastellaun.de
GS;Katzenelnbogen;"GS Katzenelnbogen";24811;"Burgstr. 4";56368;(06486)1663;http://gs-einrich.de/
RS+FOS;Katzenelnbogen;"RS+FOS Katzenelnbogen";40475;"Im Gänsberg 7";56368;(06486)90030;http://www.rs-katzenelnbogen.de
GS;Katzweiler;"GS Katzweiler";25515;"Schulstr. 6";67734;"(06301) 2391";http://www.gs-katzweiler.de
GS;Katzwinkel;"GS Katzwinkel";14428;"Knappenstr. 55a";57581;(02741)8812;
GS;Kehrig;"GS Kehrig";14446;"Polcher Str. 8";56729;(02651)5133;http://www.kehrig-eifel.de
GRS+;Kelberg;"GRS+ Kelberg";41689;"Schulstr. 5 - 7";53539;(02692)263;http://www.schulekelberg.de
GS;Kempenich;"GS Kempenich";14476;"Hardtstr. 2";56746;(02655)1595;
GS;Kempfeld;"GS Kempfeld";26583;Wildenburgstr.;55758;(06786)1766;http://www.grundschule-Wildenburg.de/
GS;Kenn;"GS Kenn";14489;"Gartenstr. 13";54344;(06502)8419;
GS;Kerzenheim;"GS Kerzenheim";14492;"Schulstr. 5";67304;(06351)7252;www.gs-kerzenheim.de
GS;Kettig;"GS Kettig";14505;"Schulstr. 6";56220;(02637)2243;
FOES;Kettig;"SFL Kettig";30773;"Ochtendunger Str. 26";56220;(02637)940234;
GS;Kinderbeuern;"GS Kinderbeuern";14518;"Schulstr. 85";54538;(06532)2065;
GS;Kindsbach;"GS Kindsbach";14523;"Schulstr. 4";66862;(06371)62114;http://www.gskindsbach.de
GS;Kirchberg;"GS Kirchberg";14536;Schulstr.;55481;06763-303350;
GY;Kirchberg;"GY Kirchberg";51498;"Schulstr. 11";55481;(06763)931195;http://kgs-kirchberg.de
RS+;Kirchberg;"RS+ Kirchberg";40445;"Schulstr. 11";55481;(06763)9311-73;http://kgs-kirchberg.de
BBS;Kirchen;"BBS Betzdorf-Kirchen";63755;"Auf dem Molzberg";57548;(02741)95970;http://www.bbs-betzdorf-kirchen.de
GS;Kirchen;"GS Kirchen Michael";14549;"Auf dem Molzberg 8";57548;(02741)6604;
GS;Kirchheim;"GS Kirchheim";25845;"Kleinkarlbacher Str. 2";67281;(06359)3650;http://www.gs-kirchheim.de
GS;Kirchheimbolanden;"GS Kirchheimbolanden";14566;"Linsenpfad 4";67292;(06352)3674;http://www.grundschule-kirchheimbolanden.de
GY;Kirchheimbolanden;"GY Kirchheimbolanden";51168;"Dr.-Heinrich-v-Brunck-Str. 47a";67292;(06352)70550;http://www.nordpfalzgymnasium.de
RS+;Kirchheimbolanden;"RS+ Kirchheimbolanden";42024;"Dr. Heinrich-v.-Brunck-Str. 47";67292;"(06352)75324 0";http://www.gvnschule.de
FOES;Kirchheimbolanden;"SFE Kirchheimbolanden";31747;Schillerhain;67292;(06352)408112;
FOES;Kirchheimbolanden;"SFLS Kirchheimbolanden";31030;"Dannenfelser Str. 29";67292;(06352)1262;http://www.mathilde-hitzfeld-schule.de
GS;Kirchwald;"GS Kirchwald";14579;"Hauptstr. 2";56729;(02651)2113;
BBS;Kirn;"BBS Kirn";60062;"Berliner Platz 1";55606;(06752)13133-0;http://www.bbs-kirn.de
GS;Kirn;"GS Kirn Dominik";26553;"Dhauner Str. 41";55606;(06752)3654;http://www.dominikschule-kirn.de
GS;Kirn;"GS Kirn Hellberg";26540;"Königsberger Str. 80";55606;(06752)3655;http://hellberg-schule.de
GY;Kirn;"GY Kirn";50990;"Turnstr. 2";55606;(06752)8144;http://www.gym-kirn.de
RS+;Kirn;"RS+ Kirn Halmen";41029;"Halmer Weg 27";55606;(06752)3491;http://www.realschule-kirn.de
RS+;Kirn;"RS+ Kirn Kyrau";42400;"Kallenfelser Str. 71";55606;(06752)950640;http://www.rsplus-kirn.de
FOES;Kirn;"SFL Kirn";30652;"Berliner Platz 1";55606;(06752)2046;http://wilhelm-droescher-schule.bildung-rp.de
GS;Kirrweiler;"GS Kirrweiler";14608;"Hauptstr. 14";67489;(06321)59585;http://www.grundschule-kirrweiler.de
GS;Klein-Winternheim;"GS Klein-Winternheim";14613;"Am Bandweidenweg 3";55270;(06136)87010;http://paul-klee-gs.de
GS;Kleinich;"GS Kleinich";14626;"Ortsstr. 35";54483;(06536)351;
GS;Kleinkarlbach;"GS Kleinkarlbach";25858;"Bachweg 7";67271;(06359)3135;http://grundschule-burgenlaendchen.de
GS;Klingenmünster;"GS Klingenmünster";14639;"Schulstr. 5";76889;(06349)8818;
GS;Klotten;"GS Klotten";14643;"Hauptstr. 26";56818;(02671)7833;http://freenet-homepage.de/grundschuleklotten/
GS;Klüsserath;"GS Klüsserath";24058;"Dammstr. 35";54340;(06507)4616;
GS;Kobern-Gondorf;"GS Kobern-Gondorf";26450;"Lennigstr. 16";56330;(02607)555;
RS+FOS;Kobern-Gondorf;"RS+FOS Kobern-Gondorf Untermosel";41419;Obermarkstr.;56330;(02607)1776;http://www.rsplus-untermosel.de
BBS;Koblenz;"BBS Koblenz DAA";64720;"Thielenstr. 13";56073;(0261)94130;http://www.altenpflegeschule-koblenz.de/
BBS;Koblenz;"BBS Koblenz Die Schule";64687;"Bahnhofsweg 6";56073;0261-47047;http://www.die-schule.de
BBS;Koblenz;"BBS Koblenz Dr. Zimmermannsche";60512;"Mainzer Str. 50";56068;(0261)91539-0;http://www.zimmermannsche.de/
BBS;Koblenz;"BBS Koblenz Gew/Hsw/Soz";60452;"Beatusstr. 143 - 147";56073;(0261)941800;http://www.julius-wegeler-schule.de
BBS;Koblenz;"BBS Koblenz Hil. von Bingen";62481;"Friedrichstr. 3";56068;(0261)18410;http://www.fs-koblenz.de
BBS;Koblenz;"BBS Koblenz Tech.";60392;"Beatusstr. 143 - 147";56073;(0261)941801;http://www.bbs-technik-koblenz.de
BBS;Koblenz;"BBS Koblenz Wirt.";60959;"Cusanusstr. 25";56073;(0261)4040713;http://bbsw-koblenz.de/
GS;Koblenz;"GS Koblenz Am Löwentor";14656;"Finkenherd 2";56075;(0261)56533;www.grundschule-am-loewentor.de
GS;Koblenz;"GS Koblenz Freiherr-vom-Stein";13348;"Steinstr. 20";56073;(0261)42168;http://steinschule-koblenz.de
GS;Koblenz;"GS Koblenz Pestalozzi";16337;"Gutenbergstr. 30";56073;(0261)41104;
GS;Koblenz;"GS Koblenz St. Castor";17466;"Nagelsgasse 6";56068;(0261)34342;http://www.gs-st.castor.bildung-rp.de/
GS;Koblenz;"GS Koblenz-Arenberg";11876;"Urbarer Str. 8";56077;(0261)68367;http://gsarenberg.bildung.koblenz.de
GS;Koblenz;"GS Koblenz-Arzheim";24511;"In der Felsch 15";56077;(0261)71666;
GS;Koblenz;"GS Koblenz-Asterstein";11919;"Lehrhohl 42";56077;(0261)74797;http://gsasterstein.bildung.koblenz.de
GS;Koblenz;"GS Koblenz-Ehrenbreitstein";24391;"Im Teichert 110";56077;(0261)79730;http://gsehrenbreitstein.bildung-rp.de
GS;Koblenz;"GS Koblenz-Güls";14672;"Karl-Möhlig-Str. 12a";56072;(0261)29184830;gs-guels.de
GS;Koblenz;"GS Koblenz-Horchheim";14686;"Kirchstr. 8";56076;(0261)76551;http://www.grundschule-horchheim.de
GS;Koblenz;"GS Koblenz-Immendorf";24508;"Schlosshofstr. 32";56077;(0261)62910;http://gsimmendorf.bildung.koblenz.de
GS;Koblenz;"GS Koblenz-Kesselheim";14699;"Kurfürst-Schönborn-Str. 55";56070;(0261)83301;
GS;Koblenz;"GS Koblenz-Lay";14703;"Karolastr. 2";56073;(02606)555;
GS;Koblenz;"GS Koblenz-Lützel";14716;"Weinbergstr. 4";56070;(0261)82273;http://www.regenbogengs.de
GS;Koblenz;"GS Koblenz-Moselweiß";14733;"Schulgasse 16";56073;(0261)42604;
GS;Koblenz;"GS Koblenz-Neuendorf";11593;"Handwerkerstr. 12-14";56070;(0261)869757;http://www.willi-graf-schule.de
GS;Koblenz;"GS Koblenz-Neukarthause";14746;"Zwickauer Str. 23";56075;"0261 53747";http://grundschule-neukarthause.bildung-rp.de
GS;Koblenz;"GS Koblenz-Niederberg";14759;"Niederberger Höhe 16";56077;"(0261)963 4930";gsniederberg.bildung.koblenz.de
